owner,repo,,,,,,,,,,,,,,
deepdiy,deepdiy,,,,,,,,,,,,,,huggingface/transformers
NREL,phygnn,,,,,,,,,,,,,,pytorch/pytorch
Oslandia,deeposlandia,,,,,,,,,,,,,,keras-team/keras
udacity,RoboND-DeepLearning-Project,,,,,,,,,,,,,,deepfakes/faceswap
oval-group,dfw,,,,,,,,,,,,,,facebookresearch/fairseq
IBM,inFairness,,,,,,,,,,,,,,google/jax
brandontrabucco,design-bench,,,,,,,,,,,,,,lutzroeder/netron
CRBS,cdeep3m,,,,,,,,,,,,,,academic/awesome-datascience
hcji,PyFingerprint,,,,,,,,,,,,,,PaddlePaddle/Paddle
XinshaoAmosWang,ProSelfLC-AT,,,,,,,,,,,,,,HumanSignal/labelImg
imperial-qore,COSCO,,,,,,,,,,,,,,shap/shap
debrajhyper,Topic_Learning_Resources,,,,,,,,,,,,,,tinygrad/tinygrad
maxmekiska,Imbrium,,,,,,,,,,,,,,pyg-team/pytorch_geometric
tensorly,torch,,,,,,,,,,,,,,Tencent/ncnn
amd,ZenDNN,,,,,,,,,,,,,,microsoft/CNTK
Heldenkombinat,Logodetect,,,,,,,,,,,,,,recommenders-team/recommenders
HamadYA,GhostFaceNets,,,,,,,,,,,,,,onnx/onnx
rundherum,pymia,,,,,,,,,,,,,,lucidrains/vit-pytorch
MLRG-CEFET-RJ,stconvs2s,,,,,,,,,,,,,,coqui-ai/TTS
AlturosDestinations,Alturos.ImageAnnotation,,,,,,,,,,,,,,ml-tooling/best-of-ml-python
kimmo1019,Roundtrip,,,,,,,,,,,,,,EthicalML/awesome-production-machine-learning
NREL,nfp,,,,,,,,,,,,,,microsoft/nni
kailaix,ADSeismic.jl,,,,,,,,,,,,,,dmlc/dgl
jomjol,neural-network-digital-counter-readout,,,,,,,,,,,,,,rasbt/python-machine-learning-book
nict-wisdom,rannc,,,,,,,,,,,,,,alexjc/neural-enhance
saforem2,l2hmc-qcd,,,,,,,,,,,,,,AaronFeng753/Waifu2x-Extension-GUI
eora-ai,torchok,,,,,,,,,,,,,,
YukeWang96,GNNAdvisor_OSDI21,,,,,,,,,,,,,,
kundajelab,chrombpnet,,,,,,,,,,,,,,
DigitalGrainSize,SediNet,,,,,,,,,,,,,,
guildai,_guild-legacy,,,,,,,,,,,,,,
fvalka,atc-reinforcement-learning,,,,,,,,,,,,,,
lacmus-foundation,lacmus-app,,,,,,,,,,,,,,
kmader,Quantitative-Big-Imaging-2018,,,,,,,,,,,,,,
mala-project,mala,,,,,,,,,,,,,,
unifyai,gym,,,,,,,,,,,,,,
mmphego,face_mask_detection_openvino,,,,,,,,,,,,,,
SvenBecker,vscode-pytorch,,,,,,,,,,,,,,
jolibrain,livedetect,,,,,,,,,,,,,,
jarrellmark,ai_upscaler_for_blender,,,,,,,,,,,,,,
raspstephan,CBRAIN-CAM,,,,,,,,,,,,,,
kristinbranson,APT,,,,,,,,,,,,,,
rakutentech,stAdv,,,,,,,,,,,,,,
BirdVox,birdvoxdetect,,,,,,,,,,,,,,
jsbruglie,gap,,,,,,,,,,,,,,
jmschrei,torchegranate,,,,,,,,,,,,,,
MaximIntegratedAI,ai8x-training,,,,,,,,,,,,,,
BioSystemsUM,DeepMol,,,,,,,,,,,,,,
Nicholasli1995,VisualizingNDF,,,,,,,,,,,,,,
zggg1p,A-Domain-Adaption-Transfer-Learning-Bearing-Fault-Diagnosis-Model-Based-on-Wide-Convolution-Deep-Neu,,,,,,,,,,,,,,
TuragaLab,DECODE,,,,,,,,,,,,,,
castorini,honkling,,,,,,,,,,,,,,
Geethen,geeml,,,,,,,,,,,,,,
peizhenbai,DrugBAN,,,,,,,,,,,,,,
CDDLeiden,DrugEx,,,,,,,,,,,,,,
jnlt3,blackmarlin,,,,,,,,,,,,,,
zackbatist,open-archaeo,,,,,,,,,,,,,,
IBM,simulai,,,,,,,,,,,,,,
