Repository,Issue Title,Issue URL,Comment Count
udacity/RoboND-DeepLearning-Project,"Does not work with tensorflow v1.9, which is now default",https://github.com/udacity/RoboND-DeepLearning-Project/issues/5,1
brandontrabucco/design-bench,bugs in TF10 dataset,https://github.com/brandontrabucco/design-bench/issues/10,1
brandontrabucco/design-bench,normalize and denommalize issue,https://github.com/brandontrabucco/design-bench/issues/8,4
brandontrabucco/design-bench,Assessing uncertainty quantification quality metrics using the `design-bench` benchmarks,https://github.com/brandontrabucco/design-bench/issues/7,2
brandontrabucco/design-bench,Summary of the characteristics of the datasets?,https://github.com/brandontrabucco/design-bench/issues/6,2
brandontrabucco/design-bench,AttributeError: module 'numpy' has no attribute 'loads',https://github.com/brandontrabucco/design-bench/issues/5,3
brandontrabucco/design-bench,Fix HopperController Evaluation,https://github.com/brandontrabucco/design-bench/pull/3,1
CRBS/cdeep3m,prediction failed (octave error),https://github.com/CRBS/cdeep3m/issues/78,6
hcji/PyFingerprint,java.lang.NullPointerException: java.lang.NullPointerException: atom has unset atom type,https://github.com/hcji/PyFingerprint/issues/9,1
XinshaoAmosWang/ProSelfLC-AT,tabular data/ noisy instances ,https://github.com/XinshaoAmosWang/ProSelfLC-AT/issues/9,1
imperial-qore/COSCO,opera_tosca_parser.error.ParseError: [NodeTemplate] Missing requirements: host.,https://github.com/imperial-qore/COSCO/issues/19,1
debrajhyper/Topic_Learning_Resources,Added node in Backend Frameworks/Library,https://github.com/debrajhyper/Topic_Learning_Resources/pull/228,2
debrajhyper/Topic_Learning_Resources,feat: Add e-books to list,https://github.com/debrajhyper/Topic_Learning_Resources/pull/227,1
debrajhyper/Topic_Learning_Resources,Add DSA Resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/224,1
debrajhyper/Topic_Learning_Resources,Add flutter resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/217,1
debrajhyper/Topic_Learning_Resources,Add DevOps resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/201,2
debrajhyper/Topic_Learning_Resources,Add Cloud Computing resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/199,2
debrajhyper/Topic_Learning_Resources,Updated Readme file,https://github.com/debrajhyper/Topic_Learning_Resources/pull/194,2
debrajhyper/Topic_Learning_Resources,Added 3 more Learning Resources in README.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/188,5
debrajhyper/Topic_Learning_Resources,Added Flutter Bootcamp 2022 by Ayngela Yu,https://github.com/debrajhyper/Topic_Learning_Resources/pull/173,1
debrajhyper/Topic_Learning_Resources,added e books ,https://github.com/debrajhyper/Topic_Learning_Resources/pull/166,2
debrajhyper/Topic_Learning_Resources,Added DSA notes,https://github.com/debrajhyper/Topic_Learning_Resources/pull/158,1
debrajhyper/Topic_Learning_Resources,"Notes for DSA, System Design, OOPs etc.",https://github.com/debrajhyper/Topic_Learning_Resources/issues/127,3
debrajhyper/Topic_Learning_Resources,Update README.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/126,3
debrajhyper/Topic_Learning_Resources,Create shubhsarthaksahu.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/93,3
debrajhyper/Topic_Learning_Resources,Added JS resource in frontend development,https://github.com/debrajhyper/Topic_Learning_Resources/pull/90,2
debrajhyper/Topic_Learning_Resources,Added DSA resource,https://github.com/debrajhyper/Topic_Learning_Resources/pull/89,2
debrajhyper/Topic_Learning_Resources,Adding E-Books,https://github.com/debrajhyper/Topic_Learning_Resources/issues/86,3
debrajhyper/Topic_Learning_Resources,Added Interview Preparation Sheets,https://github.com/debrajhyper/Topic_Learning_Resources/pull/84,2
debrajhyper/Topic_Learning_Resources,Added Solidity Resources,https://github.com/debrajhyper/Topic_Learning_Resources/pull/81,2
debrajhyper/Topic_Learning_Resources,added a website to the code games/competition section,https://github.com/debrajhyper/Topic_Learning_Resources/pull/79,2
debrajhyper/Topic_Learning_Resources,Python Fast API and Java Spring Boot Resources Added,https://github.com/debrajhyper/Topic_Learning_Resources/pull/78,2
debrajhyper/Topic_Learning_Resources,Adding interview preparation Sheets,https://github.com/debrajhyper/Topic_Learning_Resources/issues/75,1
tensorly/torch,Tensorized Matrices vs Factorized Tensors,https://github.com/tensorly/torch/issues/28,1
tensorly/torch,Support for ONNX export,https://github.com/tensorly/torch/issues/11,1
amd/ZenDNN,DLRM suggest benchmark,https://github.com/amd/ZenDNN/issues/4,8
amd/ZenDNN,Issue while setting up ZenDNN in conda container,https://github.com/amd/ZenDNN/issues/2,1
amd/ZenDNN,about zenMatMulSplit split strategy,https://github.com/amd/ZenDNN/issues/1,1
HamadYA/GhostFaceNets,Im trying to use the video_test.py but got error AttributeError: 'YoloV5FaceDetector' object has no attribute 'detect',https://github.com/HamadYA/GhostFaceNets/issues/24,2
HamadYA/GhostFaceNets,Slow inference,https://github.com/HamadYA/GhostFaceNets/issues/17,4
rundherum/pymia,[question] how to avoid ram buildup?,https://github.com/rundherum/pymia/issues/48,4
rundherum/pymia,"[feature request] flag for ""approximation"" of Hausdorff distance (and maybe also other metrics)",https://github.com/rundherum/pymia/issues/45,1
rundherum/pymia,Add balanced average Hausdorff distance metric (bAHD),https://github.com/rundherum/pymia/issues/34,1
rundherum/pymia,GPU support for evaluation,https://github.com/rundherum/pymia/issues/33,2
NREL/nfp,Shree changes,https://github.com/NREL/nfp/pull/18,2
kailaix/ADSeismic.jl,The error of run `invert_velocity_model`,https://github.com/kailaix/ADSeismic.jl/issues/4,1
kailaix/ADSeismic.jl,The error of building ADSeismic,https://github.com/kailaix/ADSeismic.jl/issues/3,4
kailaix/ADSeismic.jl,Is basic functionality available for CPU?,https://github.com/kailaix/ADSeismic.jl/issues/1,1
jomjol/neural-network-digital-counter-readout,Some Neural Network suggestions,https://github.com/jomjol/neural-network-digital-counter-readout/issues/14,8
saforem2/l2hmc-qcd,Packaging and PyPI distribution?,https://github.com/saforem2/l2hmc-qcd/issues/51,5
eora-ai/torchok,No examples configs inside TorchOk package,https://github.com/eora-ai/torchok/issues/106,1
eora-ai/torchok,Separation of embedding layer and pooling needed,https://github.com/eora-ai/torchok/issues/74,1
eora-ai/torchok,Add requirements for each component type in src/models,https://github.com/eora-ai/torchok/issues/63,1
eora-ai/torchok,Set up poetry,https://github.com/eora-ai/torchok/issues/61,1
YukeWang96/GNNAdvisor_OSDI21,Question about GCN/GIN forward propagation,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/7,4
YukeWang96/GNNAdvisor_OSDI21,Question: about ngs/partSize choosing,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/4,4
YukeWang96/GNNAdvisor_OSDI21,Question: warp-based thread alignment,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/1,5
kundajelab/chrombpnet,Larger sample than population issue,https://github.com/kundajelab/chrombpnet/issues/138,1
kundajelab/chrombpnet,AttributeError: module 'numpy' has no attribute 'object'.,https://github.com/kundajelab/chrombpnet/issues/125,1
DigitalGrainSize/SediNet,Error on conda_env,https://github.com/DigitalGrainSize/SediNet/issues/28,2
DigitalGrainSize/SediNet,Error using sedinet_predict1image.py,https://github.com/DigitalGrainSize/SediNet/issues/8,2
DigitalGrainSize/SediNet,Images for README,https://github.com/DigitalGrainSize/SediNet/issues/1,23
guildai/_guild-legacy,Permission issue on docker container,https://github.com/guildai/_guild-legacy/issues/11,1
guildai/_guild-legacy,Guild broken on Macs not using Homebrew,https://github.com/guildai/_guild-legacy/issues/8,1
guildai/_guild-legacy,DYLD_LIBRARY_PATH not visible when running guild train,https://github.com/guildai/_guild-legacy/issues/2,1
