Repository,Issue Title,Issue URL
deepdiy/deepdiy,chore(deps): bump tensorflow from 1.13.1 to 2.11.1,https://github.com/deepdiy/deepdiy/pull/12
deepdiy/deepdiy,Requires up to date version of openGL installed,https://github.com/deepdiy/deepdiy/issues/5
Oslandia/deeposlandia,Keras training process does not respect the given-as-argument training image number,https://github.com/Oslandia/deeposlandia/issues/100
Oslandia/deeposlandia,Compute metrics for each class,https://github.com/Oslandia/deeposlandia/issues/84
udacity/RoboND-DeepLearning-Project,How to generate training data,https://github.com/udacity/RoboND-DeepLearning-Project/issues/7
udacity/RoboND-DeepLearning-Project,The simulator generate which background mask,https://github.com/udacity/RoboND-DeepLearning-Project/issues/6
udacity/RoboND-DeepLearning-Project,"Does not work with tensorflow v1.9, which is now default",https://github.com/udacity/RoboND-DeepLearning-Project/issues/5
IBM/inFairness,support continuous and discrete protected attributes for Logistic Regression metric,https://github.com/IBM/inFairness/issues/65
IBM/inFairness,expose parameters for all classes,https://github.com/IBM/inFairness/issues/52
IBM/inFairness,Expose models and parameters for distance metrics,https://github.com/IBM/inFairness/issues/51
IBM/inFairness,Allow specifying model parameters to LogisticRegSubspaceSensitive metric,https://github.com/IBM/inFairness/issues/50
IBM/inFairness,Loss ratio senstir,https://github.com/IBM/inFairness/pull/43
IBM/inFairness,"lr_factor in the ranking algorithm should work stably, should explore their values before using the current heuristic.",https://github.com/IBM/inFairness/issues/40
IBM/inFairness,"expose API to sample from a trained ranking neural net, both maximum likelihood and plackett-luce sampling.",https://github.com/IBM/inFairness/issues/39
IBM/inFairness,add ranking auditor capability to use loss ratio,https://github.com/IBM/inFairness/issues/38
IBM/inFairness,add experiments on retiring adults dataset,https://github.com/IBM/inFairness/issues/34
IBM/inFairness,add individually fair ranking algo to the package,https://github.com/IBM/inFairness/issues/20
IBM/inFairness,include group fairness metrics in the package,https://github.com/IBM/inFairness/issues/13
IBM/inFairness,speed-up comparable data pair generation method,https://github.com/IBM/inFairness/issues/12
brandontrabucco/design-bench,Avoid bug when importing oracles without Mujoco,https://github.com/brandontrabucco/design-bench/pull/12
brandontrabucco/design-bench,error while importing design-bench,https://github.com/brandontrabucco/design-bench/issues/11
brandontrabucco/design-bench,bugs in TF10 dataset,https://github.com/brandontrabucco/design-bench/issues/10
brandontrabucco/design-bench,normalize and denommalize issue,https://github.com/brandontrabucco/design-bench/issues/8
brandontrabucco/design-bench,Assessing uncertainty quantification quality metrics using the `design-bench` benchmarks,https://github.com/brandontrabucco/design-bench/issues/7
brandontrabucco/design-bench,Summary of the characteristics of the datasets?,https://github.com/brandontrabucco/design-bench/issues/6
brandontrabucco/design-bench,AttributeError: module 'numpy' has no attribute 'loads',https://github.com/brandontrabucco/design-bench/issues/5
brandontrabucco/design-bench,Fix HopperController Evaluation,https://github.com/brandontrabucco/design-bench/pull/3
CRBS/cdeep3m,prediction failed (octave error),https://github.com/CRBS/cdeep3m/issues/78
